track_id,track_name,artist_name,album_name
67mXHC6reZTx32URwZn86C,Llegará,Antonio Orozco,Llegará
0wOSBQBoXmwRBFDUsU6Ywx,El Mar de Sus Ojos (feat. ChocQuibTown),Carlos Vives,El Mar de Sus Ojos (feat. ChocQuibTown)
4mjT5ws3F5fpzYS12L78se,No Voy a Llorar - Radio Edit,Rodriguez,No Voy a Llorar
5ny1iExl7yTGKRkE62LUnB,Princesa de mi cuento,Sergio Contreras,Princesa de mi cuento
2UYXTSZkSxWJYGpcd64SRO,La Nueva Y La Ex,Daddy Yankee,King Daddy
0CaAR389dewF3RErTjlc8L,Cosas Locas,Danny Romero,Cosas Locas
0VamAmertqIxKM5axPSkCy,Bailando por Ahi,Juan Magán,Bailando por Ahi
1DRhXot5zqz64D7VHtZgGz,El Doctorado - Remix,Tony Dize,El Doctorado (Remix)
1ASo4at1j2HwIZLujwl7yp,Rompe la Cintura,Alexis y Fido,La Esencia
5qcDtXG9K1X2BX9VZHYnp0,Me Llamaré Tuyo (feat. Gocho) - Remix Version,Víctor Manuelle,Me Llamaré Tuyo (feat. Gocho) [Remix Version]
1tpcwS1tgu3aMdenEkZQqL,Sin Ti,Chino & Nacho,Supremo (International Version)
4phHbFt0h1NRXIgMNM8t0Q,En Su Nota,Don Omar,King Of Kings
0lff0IjgOLnMpsqWFrj9Hy,Besas Tan Bien,Farruko,Besas Tan Bien
2KDN1DIh2kWesR9RIeDe25,Volví a Nacer (feat. J. Álvarez) - Urban Version,Carlos Vives,Volví A Nacer - EP
6FZCj8wIH1sDklyZH3DEUC,More,Zion,La Fórmula
58xwJEkzxhyXzYyjELtOCN,Soltera (feat. Danny Romero & Fito Blanko),José de Rico,Soltera (feat. Danny Romero & Fito Blanko)
3MVtL0Trf5zNiJQfLVIl9M,6 AM,J Balvin,6 AM
25WiXP3B1creYkvAfsnLxb,Más No Puedo Amarte,Dyland & Lenny,My World 2
4H8uyGio3kOgc5b1eMyEUQ,Escápate Conmigo,Wolfine,La Versatilidad de la Calle
2PyuytS9WHUXcqzR1lJYV0,Donde Estés Llegaré,Alexis y Fido,Perreología
1KbX1VuFIgsRa9JjnQtRYA,Bailar Contigo,Carlos Vives,Corazón Profundo (Versión Deluxe)
7EIW8lOBAy83dU2YXnYUTT,Yo Te Lo Dije,J Balvin,Yo Te Lo Dije
04e7ShzjEkOos7fxaC6ljd,Monalisa - Radio Edit,Alkilados,Monalisa
7IOeiuytwp88XSAU6LqAcV,Abusadora,Wisin & Yandel,La Historia De El Dúo (Vol.1)
0TnywUMjLmTcUUXFwTDWFi,Lo Que No Sabes Tú,Chino & Nacho,Mi Niña Bonita - Reloaded
20fQVuio8RcGPleqONoGx6,Camuflaje,Alexis y Fido,Perreología
4z3RCjcCBdDFqYlrhDglXf,La Pregunta,J Alvarez,Otro Nivel De Musica
6FwEmbPo3d3USlMzuulT69,Propuesta Indecente,Romeo Santos,Propuesta Indecente
3qblRaS6LNQlfr2iFdisRh,Mal De Amores,Juan Magán,Mal De Amores
4VAqYrBwxs4q3F86SkHJaV,De Lao a Lao (feat. Fito Blanko & Maffio) - Remix No Pierdes El Break,Dasoul,De Lao a Lao (feat. Fito Blanko & Maffio) [Remix No Pierdes El Break]
3CBLZ2hML049wkfRHrdA34,Ponme To Eso Pa' Lante,El Chuape,I Love Urbano 2013 - Mambo vs Dembow (Dembow Merengue Urbano Mambo Reggaeton)
2X24ZY9e3vzvGmBj5b1vap,Me Niegas,Baby Rasta & Gringo,Me Niegas
3tI4duDhHmmz1Sp7RX0Jbq,Mala Conducta (feat. Franco El Gorila),Alexis y Fido,Perreología
2UYXTSZkSxWJYGpcd64SRO,La Nueva Y La Ex,Daddy Yankee,King Daddy
5A9AILetvfQg3LHyX5X0pV,Yo También (feat. Marc Anthony),Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)"
4JAS9SXa6TBRgSQW4JPdV0,Don Juan,Fanny Lu,Felicidad Y Perpetua
6p2j9mUKbjmqrPB6d9xlkM,"Right Here, Right Now",Matt Hunter-Correa,"Right Here, Right Now"
0zX7xfXWED9ZbVLi7tiG4H,La Bruja Maruja,Tiramizú,El Tren de la Amistad
3MeghdwtakfQmIBq4yLDPS,El Gorila,Tiramizú,El Tren de la Amistad
59sji2GKbgBiH3wfWmvg9Q,El Fantasma,Tiramizú,El Tren de la Amistad
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,Closer
